gene	SRX007811	SRX008015	SRX008027	SRX008025	SRX008010	SRX008005	SRX008018	SRX008007	SRX008006	SRX008020	SRX008011	SRX008019	SRX008026	SRX008008	SRX008009	SRX008029	SRX008014	SRX008156	SRX008023	SRX008016	SRX008013	SRX008022	SRX008024	SRX008012	SRX008028	SRX008021	SRX008171	SRX008155	SRX008017	SRX008157
FBgn0031088	1	6	20	3	6	7	6	15	41	26	6	11	8	4	5	5	18	80	321	450	46	2	0	31	50	14	16356	1314	499	216
FBgn0031089	16	7	7	10	29	136	290	532	1180	10826	10477	14795	14165	4314	6348	4966	3000	2273	6954	7248	23065	1602	1817	24692	19832	16436	1222	1120	23650	1217
FBgn0031090	13448	12731	11991	7699	8402	10698	14437	7974	7091	4717	4390	9424	3628	5471	1740	2363	3209	6663	9185	7900	5662	6739	6184	3499	4393	3228	7038	5266	3093	9781
FBgn0031091	9644	1051	4956	2408	1526	786	462	479	390	259	157	328	863	956	397	510	623	1036	1719	1295	4074	3902	3532	885	2029	1374	861	644	766	950
FBgn0031092	2396	231	1165	1303	1054	1693	2159	2285	2015	2089	980	1977	3385	6013	2395	5848	7202	14884	4465	4862	4116	2442	2298	2763	3221	2593	5002	4591	2118	17704
FBgn0031093	5672	4102	4806	2733	2878	4423	3470	3870	2736	2449	1051	1636	3992	5594	1803	1624	1654	2533	2939	3385	5082	3109	2534	6718	13069	7817	4451	5839	5205	2493
FBgn0031094	2697	246	195	184	262	607	703	734	551	441	269	457	964	1479	518	889	1048	2042	1885	2117	2228	1814	1714	1252	2015	1453	1696	1507	1096	1885
FBgn0031097	201	110	243	638	1503	5295	15812	37482	90185	29022	1404	2756	8704	51139	23314	2956	2783	7068	70957	14335	4227	80	130	6682	571	721	22491	28168	6556	43965
FBgn0031098	8727	5259	10133	4410	3426	3242	2946	2744	1716	1228	682	1429	2105	1935	693	959	1542	2804	3262	3974	4609	3597	3303	1192	2239	1154	3160	2000	1359	3302
FBgn0031099	1616	441	1759	2751	3338	4241	3307	5815	5611	5152	1728	2953	4104	3247	1676	2894	2833	3349	11213	7678	4270	1646	1395	3526	8378	4155	6946	11523	6951	1993
FBgn0031100	3	53	529	123	84	76	77	194	248	344	129	270	269	81	12	8	37	95	213	273	38	13	3	56	76	48	333	215	79	78
FBgn0031101	0	3	7	3	3	0	0	0	1	4	0	2	1	1	1	50	158	363	597	809	1	0	0	1115	1500	1338	1347	1437	532	367
FBgn0031103	1	0	1	0	1	0	0	0	0	1	0	0	0	0	7	244	421	796	1492	1796	5	1	0	4515	10312	5467	2472	3433	3882	767
FBgn0031104	1	9	15	12	9	11	16	3	1	4	3	3	1	2	4	14	27	50	87	86	1	1	2	61	116	100	101	62	60	58
FBgn0031106	3634	570	2845	2460	2136	3517	2316	2776	2039	2359	1359	2072	2628	2683	759	940	1202	1785	2239	2063	3609	2286	2144	2114	4386	2466	2499	2159	2112	1759
FBgn0031107	19665	12004	44466	27480	19765	20372	25017	23051	14382	13740	5686	9349	12837	10653	3747	3418	6426	8258	13029	18314	19059	11315	10482	14536	24221	15445	12486	12232	9421	10919
FBgn0031108	2	3	9	5	6	2	5	6	5	4	2	5	3	4	27	253	608	988	1810	2409	12	4	2	7311	13543	8988	3442	4087	4637	1049
FBgn0031109	1	0	1	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	274	104	75	406	1238	339	2	0	279	0
FBgn0031110	1	0	3	5	4	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1968	318	303	3048	6455	3041	11	1	1203	1
FBgn0031111	5	4	6	5	5	2	1	3	1	0	1	2	1	4	1	2	6	1	5	4	3986	6963	6457	67	99	53	26	3	13	4
FBgn0031114	5482	6523	9792	5267	4310	3975	4943	4008	3068	2002	2571	4104	1914	2236	711	775	1065	1970	2921	2590	2647	2482	2249	1138	2024	1190	1975	1593	918	2177
FBgn0031115	3122	398	1512	1482	1678	2891	2381	1510	1545	1807	826	1607	1358	1996	695	866	1080	2024	2027	2236	2294	2142	2049	1438	1889	1670	2094	1988	1099	2079
FBgn0031116	13	1	17	27	26	177	318	645	846	1638	1321	2422	2473	818	96	66	144	206	515	634	596	124	109	999	1812	1089	416	591	900	234
FBgn0031117	2277	1258	1142	285	411	459	1042	1139	869	962	451	1027	1516	1898	1017	1843	2190	5925	4443	3531	3166	1980	1785	2456	3286	2145	3155	3038	4870	5781
FBgn0031118	14096	11379	22053	12054	11426	8390	18238	25631	17736	12917	5362	10220	6651	8493	2283	1379	4061	8121	12797	10730	12816	7683	6551	5632	9563	5341	12896	6045	5759	12824
FBgn0031119	6086	904	1814	1405	1470	1786	1865	1048	878	659	249	702	939	2612	471	437	814	1745	1901	2442	2914	3080	2995	1619	2951	2000	2980	2417	1115	2056
FBgn0031126	12617	5558	2979	866	1837	1714	1856	1660	1212	1001	822	1764	1411	1693	938	1599	2212	6143	5354	3591	6671	6811	6402	1602	2334	1528	1861	1347	1042	6424
FBgn0031127	5	4	9	5	11	4	7	7	3	7	11	14	15	12	21	89	226	503	592	733	10	6	5	1485	1751	1799	1205	1500	634	421
FBgn0031128	0	7	24	23	10	5	2	0	1	3	0	0	1	0	22	594	1343	3197	5079	6632	1	1	0	9753	12805	12089	9481	10562	4791	2987
FBgn0031129	5	22	83	20	57	55	44	3	5	7	3	7	1	10	13	488	1112	2294	3792	5304	4	0	0	13214	16276	15449	7557	9665	5635	2323
FBgn0031130	0	0	3	1	0	0	0	3	0	0	0	0	0	0	2	93	200	393	611	848	0	0	0	1431	2583	1754	1207	1395	895	374
FBgn0031132	0	1	0	1	0	0	0	7	4	11	3	4	9	3	9	126	302	593	1019	1399	3	2	1	1560	3220	2360	1745	1662	1038	548
FBgn0031134	1	1	2	1	6	5	3	11	13	9	2	6	9	1	5	118	318	712	1251	1637	2	0	0	2882	4532	3567	2432	2928	1777	675
FBgn0031135	0	1	3	3	1	4	1	7	2	8	0	1	5	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0
FBgn0031138	0	0	0	1	0	0	0	2	5	4	0	2	6	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0
FBgn0031139	0	1	0	0	0	0	0	0	0	1	0	0	0	5	0	10	27	67	110	148	1	1	1	356	349	376	224	340	108	65
FBgn0031140	1	0	9	12	24	52	132	791	2106	3041	2858	5096	4352	8978	899	1348	739	1754	94	10	3250	1184	2439	806	1176	1000	35	54	105	1326
